"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.50057726047364,0.991,0.414,0,"MG1-P2RY12","P2ry12"
"2",0,3.30896248859838,1,0.995,0,"MG1-P2RY12","Cst3"
"3",0,3.26000651626927,0.961,0.276,0,"MG1-P2RY12","Gpr34"
"4",0,3.16637890835414,0.982,0.734,0,"MG1-P2RY12","Jun"
"5",0,2.66807288368871,0.968,0.701,0,"MG1-P2RY12","Jund"
"6",0,2.66206754737344,0.996,0.675,0,"MG1-P2RY12","Selplg"
"7",0,2.64338884731296,0.971,0.249,0,"MG1-P2RY12","Siglech"
"8",0,2.50176176556931,0.98,0.635,0,"MG1-P2RY12","Rhob"
"9",0,2.4733438998701,0.999,0.367,0,"MG1-P2RY12","Sparc"
"10",0,2.44719863279782,0.734,0.367,0,"MG1-P2RY12","Klf2"
"11",0,2.43193825434177,0.865,0.14,0,"MG1-P2RY12","Hpgd"
"12",0,2.20682229371377,0.833,0.121,0,"MG1-P2RY12","Fscn1"
"13",0,2.18176934132302,0.915,0.32,0,"MG1-P2RY12","Arhgap5"
"14",0,2.14907582359652,0.991,0.536,0,"MG1-P2RY12","Tmem119"
"15",0,2.12685176007925,0.809,0.321,0,"MG1-P2RY12","Txnip"
"16",0,2.1089639919314,0.974,0.637,0,"MG1-P2RY12","Kctd12"
"17",0,2.10181762464629,0.997,0.772,0,"MG1-P2RY12","Cx3cr1"
"18",0,2.06176068079083,1,0.947,0,"MG1-P2RY12","Hexb"
"19",0,2.01387151089675,0.937,0.297,0,"MG1-P2RY12","Plxdc2"
"20",0,1.98415305996308,0.967,0.705,0,"MG1-P2RY12","Ier5"
"21",0,1.94272041694291,0.853,0.646,0,"MG1-P2RY12","Egr1"
"22",0,1.91161024621978,0.962,0.777,0,"MG1-P2RY12","Btg2"
"23",0,1.88764878344481,1,0.929,0,"MG1-P2RY12","Csf1r"
"24",0,1.86640862091792,0.954,0.52,0,"MG1-P2RY12","Mef2c"
"25",0,1.85176696898442,0.48,0.12,0,"MG1-P2RY12","Hspa1a"
"26",0,1.80091444456102,0.857,0.25,0,"MG1-P2RY12","Cfh"
"27",0,1.80037481331324,0.978,0.668,0,"MG1-P2RY12","Vsir"
"28",0,1.79738907144943,0.947,0.588,0,"MG1-P2RY12","Glul"
"29",0,1.7609680021924,0.812,0.258,0,"MG1-P2RY12","P2ry13"
"30",0,1.75472788608223,0.992,0.717,0,"MG1-P2RY12","Olfml3"
"31",0,1.9235603223104,0.912,0.622,0,"MG2-TNF","Ccl4"
"32",0,1.75951251033124,0.885,0.574,0,"MG2-TNF","Ccl3"
"33",0,1.71793871359137,0.718,0.135,0,"MG2-TNF","Cst7"
"34",0,1.61845337727385,0.953,0.521,0,"MG2-TNF","Timp2"
"35",0,1.59401339862642,1,0.934,0,"MG2-TNF","Ctsd"
"36",0,1.55107309734652,0.999,0.77,0,"MG2-TNF","Cd81"
"37",0,1.5448979226134,0.986,0.728,0,"MG2-TNF","Cd9"
"38",0,1.54402074118345,0.717,0.368,0,"MG2-TNF","Tnf"
"39",0,1.54013087254692,0.954,0.272,0,"MG2-TNF","Sparc"
"40",0,1.50282406021657,0.997,0.856,0,"MG2-TNF","Ctsl"
"41",0,1.43305361054076,0.747,0.221,0,"MG2-TNF","Gpr84"
"42",0,1.4287902669795,0.815,0.465,0,"MG2-TNF","Ccl12"
"43",0,1.4003490127173,0.718,0.268,0,"MG2-TNF","Lag3"
"44",0,1.35925661739393,0.64,0.127,0,"MG2-TNF","C4b"
"45",0,1.2521993043132,0.712,0.43,0,"MG2-TNF","Ccl2"
"46",0,1.1852619456741,1,0.938,0,"MG2-TNF","Hexb"
"47",0,1.14531752447204,0.918,0.441,0,"MG2-TNF","Ldhb"
"48",0,1.11929126890319,0.791,0.454,0,"MG2-TNF","Il1a"
"49",0,1.08918802454489,0.664,0.196,0,"MG2-TNF","Hcar2"
"50",0,1.06893810869574,0.53,0.13,0,"MG2-TNF","Csf1"
"51",0,1.03565426405887,0.754,0.293,0,"MG2-TNF","Serpine2"
"52",0,0.998388200407382,0.846,0.478,0,"MG2-TNF","Tlr2"
"53",0,0.991467716035626,0.927,0.541,0,"MG2-TNF","Syngr1"
"54",0,0.956710728035469,0.849,0.435,0,"MG2-TNF","Fcrls"
"55",0,0.953757722476394,0.863,0.371,0,"MG2-TNF","Cd37"
"56",0,0.952237963484967,0.957,0.767,0,"MG2-TNF","Lgals3bp"
"57",0,0.942506166520838,0.995,0.946,0,"MG2-TNF","Ly86"
"58",0,0.929932700310032,0.428,0.202,0,"MG2-TNF","Rcan1"
"59",0,0.929407018774047,0.783,0.49,0,"MG2-TNF","Nfkbiz"
"60",9.44125322540368e-286,1.06899572816931,0.45,0.253,2.66790933643457e-281,"MG2-TNF","Ccl5"
"61",0,2.28031289854672,0.869,0.635,0,"MG3-GPNMB","Hmox1"
"62",0,1.77673637823152,0.633,0.271,0,"MG3-GPNMB","Bnip3"
"63",0,1.75028200009177,0.412,0.103,0,"MG3-GPNMB","Mt2"
"64",0,1.3717166677487,0.669,0.292,0,"MG3-GPNMB","Pmp22"
"65",0,1.36733991157378,0.666,0.245,0,"MG3-GPNMB","Cst7"
"66",0,1.33573011088789,0.895,0.72,0,"MG3-GPNMB","Tpi1"
"67",0,1.32791490165756,0.974,0.821,0,"MG3-GPNMB","Mif"
"68",0,1.27481444452547,0.982,0.892,0,"MG3-GPNMB","Aldoa"
"69",0,1.27033971067733,0.887,0.691,0,"MG3-GPNMB","Pgk1"
"70",0,1.21987894782582,0.255,0.012,0,"MG3-GPNMB","Adm"
"71",0,1.20793453825056,0.927,0.78,0,"MG3-GPNMB","Pgam1"
"72",0,1.14748631152435,0.985,0.918,0,"MG3-GPNMB","Pkm"
"73",0,1.09959636880417,1,1,0,"MG3-GPNMB","Ftl1"
"74",1.48350961927622e-299,1.02374362341437,0.93,0.844,4.19210148215075e-295,"MG3-GPNMB","Bsg"
"75",7.83856459692311e-298,1.24555639192582,0.894,0.745,2.21502158379853e-293,"MG3-GPNMB","Gapdh"
"76",3.57724841274389e-264,1.33066539201018,0.75,0.431,1.01085885647317e-259,"MG3-GPNMB","Fabp5"
"77",2.2968848006307e-255,1.01816547546387,0.886,0.603,6.49053706962224e-251,"MG3-GPNMB","Timp2"
"78",1.75806591961087e-245,1.38925022556926,0.894,0.731,4.96794267563639e-241,"MG3-GPNMB","Lgals3"
"79",1.06454083536422e-232,1.2274569142967,0.564,0.285,3.00817949257221e-228,"MG3-GPNMB","Bhlhe41"
"80",9.71112188212665e-231,1.34266385757116,0.394,0.14,2.74416882145135e-226,"MG3-GPNMB","Serpine1"
"81",4.41745395451192e-228,1.67430867666134,0.494,0.237,1.24828413846598e-223,"MG3-GPNMB","Ero1l"
"82",4.90867375699228e-218,1.04615021582822,0.912,0.762,1.38709303025088e-213,"MG3-GPNMB","Basp1"
"83",3.02225344706599e-216,1.03203276194354,0.629,0.374,8.54028379071908e-212,"MG3-GPNMB","Fam162a"
"84",1.20092359848102e-210,1.88869542845581,0.874,0.756,3.39356990458768e-206,"MG3-GPNMB","Mt1"
"85",4.46915145300116e-207,1.2992547190809,0.333,0.114,1.26289281758907e-202,"MG3-GPNMB","Plk2"
"86",8.49210881794433e-207,1.02084564007585,0.701,0.434,2.39970010977471e-202,"MG3-GPNMB","Anxa2"
"87",2.17517012199813e-171,1.02861478506649,0.667,0.484,6.14659573074232e-167,"MG3-GPNMB","Higd1a"
"88",4.39579484612923e-167,1.31061034363974,0.448,0.217,1.2421637076192e-162,"MG3-GPNMB","Hilpda"
"89",1.88776932767725e-112,1.04604542890988,0.511,0.344,5.33445856615037e-108,"MG3-GPNMB","Slc2a1"
"90",5.44339510266699e-91,1.38144501668671,0.547,0.348,1.53819458811164e-86,"MG3-GPNMB","Spp1"
"91",0,2.06438372687346,0.963,0.305,0,"MG4-MKI67","Stmn1"
"92",0,1.74239733960618,0.625,0.103,0,"MG4-MKI67","Ube2c"
"93",0,1.61841420556234,0.723,0.142,0,"MG4-MKI67","Mki67"
"94",0,1.61431354844181,0.665,0.116,0,"MG4-MKI67","Top2a"
"95",0,1.56565545791325,0.739,0.103,0,"MG4-MKI67","Birc5"
"96",0,1.54965957746985,0.75,0.106,0,"MG4-MKI67","Pclaf"
"97",0,1.51509481937893,0.913,0.521,0,"MG4-MKI67","Ccl12"
"98",0,1.49891156065163,0.941,0.535,0,"MG4-MKI67","Hmgb2"
"99",0,1.4981283790995,0.993,0.775,0,"MG4-MKI67","Tubb5"
"100",0,1.39571551084771,0.955,0.582,0,"MG4-MKI67","Tuba1b"
"101",0,1.39323825608269,0.639,0.13,0,"MG4-MKI67","Cenpa"
"102",0,1.36031198537412,0.853,0.437,0,"MG4-MKI67","Tubb4b"
"103",0,1.35418529370866,0.74,0.159,0,"MG4-MKI67","Smc2"
"104",0,1.30647188767583,0.82,0.211,0,"MG4-MKI67","Phgdh"
"105",0,1.30455930059275,0.65,0.1,0,"MG4-MKI67","Cdk1"
"106",0,1.27905809891462,0.534,0.069,0,"MG4-MKI67","Cenpf"
"107",0,1.20654065631065,0.997,0.922,0,"MG4-MKI67","H2afz"
"108",0,1.17456442111359,0.639,0.087,0,"MG4-MKI67","Cdca8"
"109",0,1.1588470515402,0.665,0.211,0,"MG4-MKI67","H2afx"
"110",0,1.14686455677094,0.709,0.183,0,"MG4-MKI67","Smc4"
"111",0,1.13771447325954,0.737,0.167,0,"MG4-MKI67","Cks1b"
"112",0,1.12011004002735,0.879,0.556,0,"MG4-MKI67","Ube2s"
"113",0,1.11736776775692,0.86,0.386,0,"MG4-MKI67","Selenoh"
"114",0,1.08828625554019,0.981,0.742,0,"MG4-MKI67","Ran"
"115",0,1.08637166789675,0.608,0.082,0,"MG4-MKI67","Cdca3"
"116",0,1.07936619163036,0.511,0.038,0,"MG4-MKI67","Pbk"
"117",0,1.07258299556877,0.533,0.078,0,"MG4-MKI67","Ccnb2"
"118",0,1.06535581639809,0.735,0.253,0,"MG4-MKI67","Npl"
"119",0,1.06278403633099,0.477,0.06,0,"MG4-MKI67","Prc1"
"120",0,1.03817263592664,0.571,0.079,0,"MG4-MKI67","Tpx2"
"121",0,3.79470052925492,0.843,0.136,0,"MDM1-CCR7","Plac8"
"122",0,3.64925935358045,0.539,0.057,0,"MDM1-CCR7","Chil3"
"123",0,3.53099625717613,0.803,0.127,0,"MDM1-CCR7","S100a6"
"124",0,3.09766751313909,0.62,0.07,0,"MDM1-CCR7","Ly6c2"
"125",0,2.6080702993542,0.844,0.394,0,"MDM1-CCR7","Crip1"
"126",0,2.46944567416793,0.538,0.029,0,"MDM1-CCR7","S100a4"
"127",0,2.43244955173936,0.57,0.05,0,"MDM1-CCR7","Ahnak"
"128",0,2.39447488946093,0.827,0.28,0,"MDM1-CCR7","S100a11"
"129",0,2.3253274918486,0.687,0.296,0,"MDM1-CCR7","Thbs1"
"130",0,2.29689803141929,0.775,0.54,0,"MDM1-CCR7","Isg15"
"131",0,2.25834469193188,0.993,0.808,0,"MDM1-CCR7","Ifitm3"
"132",0,2.23344701202299,0.805,0.351,0,"MDM1-CCR7","Ms4a4c"
"133",0,2.20978109981162,0.857,0.489,0,"MDM1-CCR7","Samhd1"
"134",0,2.20734914828148,0.611,0.145,0,"MDM1-CCR7","S100a10"
"135",0,2.18501590154139,0.959,0.787,0,"MDM1-CCR7","Tmsb10"
"136",0,2.10168153599749,0.643,0.218,0,"MDM1-CCR7","Ifi47"
"137",0,2.06694480636901,0.867,0.561,0,"MDM1-CCR7","Vim"
"138",0,2.06664866831631,0.779,0.478,0,"MDM1-CCR7","Tgm2"
"139",0,2.04788001481514,0.411,0.153,0,"MDM1-CCR7","Rsad2"
"140",0,2.03611809018781,0.523,0.252,0,"MDM1-CCR7","Gbp2"
"141",0,2.02075810774649,0.896,0.516,0,"MDM1-CCR7","Ifitm2"
"142",0,1.96800764493324,0.447,0.027,0,"MDM1-CCR7","Ifitm6"
"143",0,1.96003889271312,0.266,0.018,0,"MDM1-CCR7","Slpi"
"144",0,1.9174965464861,0.763,0.515,0,"MDM1-CCR7","Irf7"
"145",0,1.87870898732344,0.732,0.328,0,"MDM1-CCR7","Slfn5"
"146",0,1.84335950101308,0.418,0.059,0,"MDM1-CCR7","Ifi205"
"147",0,1.83869240940665,0.688,0.165,0,"MDM1-CCR7","Ccr2"
"148",0,1.80715891320404,0.416,0.033,0,"MDM1-CCR7","Hp"
"149",1.99717662612756e-265,2.09949821972457,0.463,0.264,5.64362171011126e-261,"MDM1-CCR7","Cxcl10"
"150",1.88698585038696e-184,1.75569865057432,0.434,0.257,5.33224461602347e-180,"MDM1-CCR7","Cxcl2"
"151",0,2.04290179823844,0.896,0.472,0,"MDM2-H2-EB1","H2-Eb1"
"152",0,1.97762619967496,0.91,0.503,0,"MDM2-H2-EB1","H2-Aa"
"153",0,1.95384601726845,0.969,0.734,0,"MDM2-H2-EB1","Cd74"
"154",0,1.88200880833221,0.914,0.598,0,"MDM2-H2-EB1","H2-Ab1"
"155",0,1.32431160968182,0.878,0.405,0,"MDM2-H2-EB1","Acp5"
"156",0,1.31115920127399,0.913,0.565,0,"MDM2-H2-EB1","AW112010"
"157",0,1.13686220364028,0.78,0.347,0,"MDM2-H2-EB1","Ms4a7"
"158",0,1.11700907291427,0.785,0.59,0,"MDM2-H2-EB1","H2-DMb1"
"159",0,1.02619014240688,0.735,0.458,0,"MDM2-H2-EB1","Ly6a"
"160",0,1.01837508114536,0.905,0.605,0,"MDM2-H2-EB1","Cyp4f18"
"161",0,0.976955124160206,0.966,0.607,0,"MDM2-H2-EB1","Tgfbi"
"162",0,0.933508045677641,0.887,0.644,0,"MDM2-H2-EB1","Rgs1"
"163",0,0.912682560648662,0.792,0.538,0,"MDM2-H2-EB1","Il1b"
"164",0,0.881184900575801,0.653,0.279,0,"MDM2-H2-EB1","Plbd1"
"165",0,0.870063657359904,0.87,0.504,0,"MDM2-H2-EB1","Pla2g7"
"166",0,0.854213869726775,0.997,0.933,0,"MDM2-H2-EB1","Apoe"
"167",0,0.839952241984433,0.374,0.142,0,"MDM2-H2-EB1","Zmynd15"
"168",0,0.834294379866639,0.909,0.59,0,"MDM2-H2-EB1","Cybb"
"169",0,0.792256960104064,0.91,0.708,0,"MDM2-H2-EB1","Cxcl16"
"170",0,0.772998737370489,0.67,0.346,0,"MDM2-H2-EB1","Ccr1"
"171",0,0.730004151925834,0.69,0.431,0,"MDM2-H2-EB1","Mmp14"
"172",0,0.721559843307637,0.512,0.262,0,"MDM2-H2-EB1","Scimp"
"173",0,0.715080844576494,0.886,0.779,0,"MDM2-H2-EB1","H2-DMa"
"174",0,0.706957905655224,0.37,0.188,0,"MDM2-H2-EB1","Cfb"
"175",0,0.70238033321805,0.468,0.183,0,"MDM2-H2-EB1","Klra2"
"176",0,0.691016141360884,0.961,0.76,0,"MDM2-H2-EB1","Ms4a6c"
"177",0,0.678379627779474,0.424,0.192,0,"MDM2-H2-EB1","Clec4n"
"178",0,0.639102540913658,0.579,0.312,0,"MDM2-H2-EB1","Runx3"
"179",0,0.635835225920835,0.518,0.338,0,"MDM2-H2-EB1","Il18bp"
"180",1.19466998004775e-305,0.676743005875428,0.41,0.237,3.37589842961894e-301,"MDM2-H2-EB1","Nr4a2"
"181",0,2.296904433523,0.542,0.152,0,"MDM3-GPNMB","Gpnmb"
"182",0,1.9680226270892,0.749,0.397,0,"MDM3-GPNMB","Fabp5"
"183",0,1.65234944394207,0.476,0.178,0,"MDM3-GPNMB","Arg1"
"184",0,1.43569030441218,0.582,0.321,0,"MDM3-GPNMB","Spp1"
"185",0,1.20356075966241,0.899,0.556,0,"MDM3-GPNMB","Lgals1"
"186",0,1.18207328191388,0.81,0.619,0,"MDM3-GPNMB","Hmox1"
"187",0,1.14887330685039,0.528,0.191,0,"MDM3-GPNMB","Pf4"
"188",0,1.1239929918739,0.755,0.458,0,"MDM3-GPNMB","Wfdc17"
"189",0,1.11618177530512,0.945,0.705,0,"MDM3-GPNMB","Lgals3"
"190",0,1.07467172137172,0.837,0.402,0,"MDM3-GPNMB","Ms4a7"
"191",0,1.07149112835622,0.994,0.938,0,"MDM3-GPNMB","Lyz2"
"192",0,1.00689575576171,0.984,0.933,0,"MDM3-GPNMB","Prdx1"
"193",0,0.991838804941064,0.461,0.184,0,"MDM3-GPNMB","Igf1"
"194",0,0.921555701757601,0.86,0.478,0,"MDM3-GPNMB","Acp5"
"195",0,0.880720236456255,0.901,0.554,0,"MDM3-GPNMB","Pla2g7"
"196",0,0.860171043959499,1,1,0,"MDM3-GPNMB","Ftl1"
"197",0,0.822143287608661,1,1,0,"MDM3-GPNMB","Fth1"
"198",0,0.812103257787917,0.567,0.212,0,"MDM3-GPNMB","Mgst1"
"199",0,0.80842414763915,0.934,0.674,0,"MDM3-GPNMB","Msrb1"
"200",0,0.801189087059424,0.998,0.942,0,"MDM3-GPNMB","Apoe"
"201",0,0.789510026221883,0.845,0.634,0,"MDM3-GPNMB","Ninj1"
"202",0,0.779685178952439,0.536,0.195,0,"MDM3-GPNMB","Cd38"
"203",0,0.778905964375147,0.902,0.702,0,"MDM3-GPNMB","Plin2"
"204",0,0.762661268045685,0.782,0.561,0,"MDM3-GPNMB","Blvrb"
"205",0,0.730210880116196,0.92,0.763,0,"MDM3-GPNMB","Txn1"
"206",0,0.687326561604019,0.705,0.535,0,"MDM3-GPNMB","Lipa"
"207",1.14464726102275e-297,0.88056605068469,0.565,0.357,3.23454423019808e-293,"MDM3-GPNMB","Il18bp"
"208",6.24426245985944e-287,0.711887439786293,0.436,0.22,1.76450368590708e-282,"MDM3-GPNMB","Pltp"
"209",8.41318752032038e-125,0.68208433387502,0.379,0.258,2.37739852949213e-120,"MDM3-GPNMB","Vcam1"
"210",3.21354794956427e-114,0.669780264303626,0.332,0.211,9.08084379587872e-110,"MDM3-GPNMB","Hilpda"
"211",0,2.11408889620956,0.95,0.283,0,"MDM4-MKI67","Stmn1"
"212",0,1.98011668122727,0.97,0.519,0,"MDM4-MKI67","Hmgb2"
"213",0,1.90103022906248,0.734,0.091,0,"MDM4-MKI67","Top2a"
"214",0,1.84258528497847,0.755,0.084,0,"MDM4-MKI67","Pclaf"
"215",0,1.7671796496477,0.765,0.119,0,"MDM4-MKI67","Mki67"
"216",0,1.70976446275417,0.734,0.082,0,"MDM4-MKI67","Birc5"
"217",0,1.56692875347759,0.574,0.09,0,"MDM4-MKI67","Ube2c"
"218",0,1.55657201306997,0.998,0.92,0,"MDM4-MKI67","H2afz"
"219",0,1.4733738969667,0.987,0.768,0,"MDM4-MKI67","Tubb5"
"220",0,1.30239506543656,0.599,0.116,0,"MDM4-MKI67","Cenpa"
"221",0,1.28298301145216,0.729,0.163,0,"MDM4-MKI67","Smc4"
"222",0,1.26943258696745,0.746,0.146,0,"MDM4-MKI67","Cks1b"
"223",0,1.26849371376923,0.649,0.197,0,"MDM4-MKI67","H2afx"
"224",0,1.25793509630931,0.815,0.426,0,"MDM4-MKI67","Tubb4b"
"225",0,1.24597612976332,0.718,0.141,0,"MDM4-MKI67","Smc2"
"226",0,1.21693910862287,0.634,0.069,0,"MDM4-MKI67","Cdca8"
"227",0,1.2052798051783,0.498,0.057,0,"MDM4-MKI67","Cenpf"
"228",0,1.14819416252401,0.588,0.066,0,"MDM4-MKI67","Cdca3"
"229",0,1.14245002499581,0.956,0.63,0,"MDM4-MKI67","Anp32b"
"230",0,1.11902600133328,0.393,0.032,0,"MDM4-MKI67","Hist1h1b"
"231",0,1.10991215285531,0.97,0.735,0,"MDM4-MKI67","Ran"
"232",0,1.10082789610286,1,0.985,0,"MDM4-MKI67","Ptma"
"233",0,1.07104544857076,0.528,0.055,0,"MDM4-MKI67","Cenpe"
"234",0,1.07069692267795,0.773,0.313,0,"MDM4-MKI67","H2afv"
"235",0,1.05553296276483,0.9,0.575,0,"MDM4-MKI67","Tuba1b"
"236",0,1.05050324190758,0.546,0.065,0,"MDM4-MKI67","Tpx2"
"237",0,1.01899089814663,0.552,0.111,0,"MDM4-MKI67","Dut"
"238",0,1.01814279717244,0.543,0.065,0,"MDM4-MKI67","Tk1"
"239",0,0.99201591863794,0.568,0.088,0,"MDM4-MKI67","Cdk1"
"240",0,0.982281573271101,0.799,0.381,0,"MDM4-MKI67","Nucks1"
